,Sentence #,Word,B-ADJ,B-CHI,B-CRO,B-INC,B-PAR,B-TAR,I-ADJ,I-CHI,I-CRO,I-INC,I-PAR,I-TAR,O,Tag
0,0,[CLS],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,O
1,0,j,0.012,0.003,0.0,0.096,0.09,0.792,0.001,0.001,0.0,0.0,0.003,0.0,0.001,B-TAR
2,0,##aka,0.011,0.004,0.001,0.107,0.099,0.772,0.001,0.001,0.0,0.0,0.003,0.001,0.001,B-TAR
3,0,##rta,0.019,0.005,0.001,0.144,0.123,0.696,0.002,0.001,0.0,0.001,0.006,0.001,0.001,B-TAR
4,0,’,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,O
5,0,s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,O
6,0,special,0.028,0.001,0.01,0.313,0.026,0.001,0.006,0.002,0.005,0.03,0.003,0.002,0.572,O
7,0,capital,0.002,0.001,0.001,0.011,0.001,0.0,0.05,0.012,0.008,0.88,0.005,0.002,0.026,I-INC
8,0,region,0.0,0.001,0.001,0.003,0.001,0.0,0.054,0.015,0.005,0.871,0.012,0.002,0.035,I-INC
9,0,(,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
10,0,d,0.218,0.003,0.013,0.574,0.034,0.005,0.004,0.002,0.006,0.009,0.005,0.002,0.124,B-INC
11,0,##ki,0.143,0.003,0.022,0.736,0.028,0.005,0.003,0.001,0.004,0.006,0.005,0.002,0.043,B-INC
12,0,),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,O
13,0,citizens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
14,0,’,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
15,0,signature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
16,0,card,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
17,0,(,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
18,0,k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
19,0,##t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
20,0,##p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
21,0,),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
22,0,will,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
23,0,be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
24,0,replaced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
25,0,after,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
26,0,the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
27,0,official,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
28,0,capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
29,0,of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
30,0,the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
31,0,country,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
32,0,moves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
33,0,to,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
34,0,the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O
35,0,n,0.108,0.002,0.005,0.848,0.033,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,B-INC
36,0,##usa,0.107,0.002,0.005,0.848,0.034,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,B-INC
37,0,##nta,0.098,0.002,0.005,0.854,0.037,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.001,B-INC
38,0,##ra,0.121,0.003,0.006,0.83,0.03,0.001,0.001,0.001,0.001,0.002,0.001,0.0,0.002,B-INC
